Health_Facilities,has_diagnosis,has_treatment,Counties.in.Kenya,Subcounty,VL_Facility_Type,level,facility_type,kmhfr_county,kmhfr_sub_county,kmhfr_ward,latitude,longitude,description,total_inpatient_beds,general_inpatient_beds,cots,maternity_beds,emergency_casualty_beds,icu_beds,hdu_beds,isolation_beds,general_theatres,maternity_theatres,services
Ammusait General Hospital,TRUE,TRUE,Turkana,Kalobeyei refugee camp ,Diagnosis and Treatment,4,primary care hospitals,turkana,turkana west,kakuma,3.73941,34.81289,kakuma refugee camp,40,0,10,0,0,0,0,0,0,0,"specialised anc -high risk pregnancy (antenatal care), short acting method (family planning), permanent (family planning), general outpatient (curative services), natural (family planning), long acting method (family planning), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), class b (laboratory services), class a (laboratory services), basic obstetric care (bmoc) (maternity services), accident and emergency casualty services (accident and emergency casualty services), dental"
Bute District Hospital,TRUE,TRUE,Wajir,Wajir North,Diagnosis and Treatment,4,comprehensive health centre,wajir,wajir north,bute,3.37095,39.4252,along wajir-moyale road in bute town near dc's office,30,0,2,2,0,0,0,0,1,0,"paediatric outpatient clinic (specialized outpatients clinic), opthamology (specialized outpatients clinic), minor theatre services (theatre services), leprosy treatment (leprosy treatment), hpv test (cancer screening), hospital - retail services (pharmacy services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), multiple micronutrients (nutrition services), maternity services (theatre services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital-retail service (pharmacy services), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), general theatre services (theatre services), fine needle aspiration (tuberculosis diagnosis), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic eye care (ophthalmic services), general outpatient (curative services), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), hiv treatment and care (hiv treatment), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), growth monitoring (nutrition services), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), basic- perform basic neonatal resuscitation (newborn care service), basic obstetric care (bmoc) (maternity services), basic imci-management of acute infections (integrated management of childhood illness), optical"
Chemolingot HC,TRUE,TRUE,Baringo,Tiaty West,Diagnosis and Treatment,4,primary care hospitals,baringo,tiaty west,ribkwo,0.988013818,35.9723451,along nginyang -kolowa highway,14,0,4,0,0,0,0,0,0,0,"tt toxoid for pregnant women (immunisation), specialised anc -high risk pregnancy (antenatal care), smear microscopy (tuberculosis diagnosis), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), condom distribution & sti prevention (hiv/aids prevention and care services), basic obstetric care (bmoc) (maternity services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Eldas Health Centre,TRUE,TRUE,Wajir,Eldas,Diagnosis and Treatment,4,primary care hospitals,wajir,eldas,eldas,2.487774594,39.56787976,,0,0,0,0,0,0,0,0,0,0,"specialised anc -high risk pregnancy (antenatal care), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), permanent (family planning), general outpatient (curative services), natural (family planning), long acting method (family planning), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services)"
Elelea Health Centre,TRUE,TRUE,Turkana,Turkana East,Diagnosis and Treatment,3,primary care hospitals,turkana,turkana east,katilia,2.11512,36.15184,located along lotubae katilia road,0,25,4,0,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tt toxoid for pregnant women (immunisation), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), focused antenatal care (antenatal care), condom distribution & sti prevention (hiv/aids prevention and care services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services)"
Elwak District Hospital,TRUE,TRUE,Mandera,Mandera South,Diagnosis and Treatment,,,,,,2.805792301,40.93019802,,,,,,,,,,,,
Ewuaso Kedong Health Centre,TRUE,TRUE,Kajiado,Kajiado West,Diagnosis and Treatment,3,basic health centre,kajiado,kajiado west,ewuaso oo nkidong'i,-1.1532,36.49992,-,1,0,0,0,0,0,0,0,0,0,no data
Garbatulla District Hospital,TRUE,TRUE,Isiolo,Garbatulla,Diagnosis and Treatment,4,primary care hospitals,isiolo,garbatulla,garba tulla,0.535472315,38.51949449,opposite catholic church,48,31,10,17,0,0,0,0,1,0,"new born care service (newborn care service), ct scans (radiology and imaging), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), satellite blood transfusion service (blood services), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), general outpatient (curative services), natural (family planning), long acting method (family planning), child immunization (intergrated immunization), inpatient (curative services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), class a (laboratory services), blood bank (blood services), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services), pharmacy"
Garissa County Referral Hospital,TRUE,TRUE,Garissa,Garissa Township,Diagnosis and Treatment,5,secondary care hospitals,garissa,garissa,waberi,-0.448610398,39.65255166,along kismayu road-1.5km from garissa town,154,0,12,44,9,6,3,14,4,0,"icu services (icu services), mri (radiology and imaging), xray (tuberculosis diagnosis), utra-sound (radiology and imaging), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), surgical outpatient clinic (specialized outpatients clinic), specialised x-ray (radiology and imaging), specialised physiotherapy (physio therapy), specialised occupational therapy - includes paediatric (occupational therapy), specialised dental services (dental services), specialised anc -high risk pregnancy (antenatal care), smear microscopy (tuberculosis diagnosis), slit skin smears microscopy (leprosy diagnosis), slit skin smears culture (leprosy diagnosis), skin clinic (specialized outpatients clinic), short acting method (family planning), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), postnatal care services (postnatal care services), permanent (family planning), paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), general theatre services (theatre services), long acting method (family planning), leprosy treatment (leprosy treatment), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hospice service (hospice service), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), high depedency services (high dependency services), gynaecology out-patient clinic (specialized outpatients clinic), general radiography services (radiology and imaging), genexpert (tuberculosis diagnosis), forensic services (forensic services), focused antenatal care (antenatal care), facility offering blood transfusion service (blood services), ear, nose and throat services (specialized outpatients clinic), multi-drug resistant tuberculosis treatment (tuberculosis treatments), ct scans (radiology and imaging), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive mortuary services (mortuary services), comprehensive emergency preparedness -basic life support (emergency preparedness), class e (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Griftu District Hospital,TRUE,TRUE,Wajir,Wajir West,Diagnosis and Treatment,4,primary care hospitals,wajir,wajir west,arbajahan,1.99695,39.75472,along wajir griftu road,36,0,4,4,0,0,0,0,2,0,"general outpatient (curative services), inpatient (curative services), focused antenatal care (antenatal care)"
Isiolo District Hospital,TRUE,TRUE,Isiolo,Isiolo,Diagnosis and Treatment,5,secondary care hospitals,isiolo,isiolo,wabera,0.3658,37.58997,-,0,0,35,40,4,7,0,0,1,0,"paediatric outpatient clinic (specialized outpatients clinic), general outpatient (curative services), othorpaedic basic services (rehabilitation services), orthopaedic procedures (orthopaedic technology services), orthopaedic basic services (orthopaedic technology services), opthamology (specialized outpatients clinic), ophthalmic services (ophthalmic services1), nutrition assessment ,counselling and support ( the nacs process) for plhivs (hiv/aids prevention and care services), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), minor theatre services (theatre services), medical outpatient clinic (specialized outpatients clinic), maternity services (theatre services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), major theatre services (theatre services), long acting method (family planning), leprosy treatment (leprosy treatment), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), icu services (icu services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hiv risk reduction for priority populations and geographies (hiv/aids prevention and care services), hiv preventive package (hiv/aids prevention and care services), high dependency services (specialized in-patient services), high depedency services (high dependency services), hei - hiv exposed infants (hiv/aids prevention and care services), gynaecology out-patient clinic (specialized outpatients clinic), growth monitoring (nutrition services), genexpert (tuberculosis diagnosis), general radiography services (radiology and imaging), general theatre services (theatre services), general emergency  services (accident and emergency casualty services), general emergency services (accident and emergency casualty services), focused antenatal care (antenatal care), fine needle aspiration (tuberculosis diagnosis), facility offering blood transfusion service (blood services), facility accredited by nhif (nhif accreditation status), ear, nose and throat services (specialized outpatients clinic), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), dialysis (renal services), ct scans (radiology and imaging), counselling for oncology services (oncology services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive yfs-separate building (youth centre) with recreation facilities (youth friendly services), comprehensive services for gender- based- violence survivors (services for gender based violence survivors), comprehensive mental health service - integrated, promotive, preventive, curative and rehabilitative mental health services, medical assisted therapy (mental health services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), comprehensive emergency preparedness -basic life support (emergency preparedness), class f (laboratory services), class e (laboratory services), class d (laboratory services), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), blood bank (blood services), blood bank (blood services), basic yfs-service to the youth offered alongside other services (youth friendly services), basic services for gender based violence survivors (services for gender based violence survivors), basic physiotherapy (physio therapy), basic- perform basic neonatal resuscitation (newborn care service), basic occupational therapy-all (occupational therapy), basic obstetric care (bmoc) (maternity services), basic mortuary services (mortuary services), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), basic dental services (dental services), basic -collection and preservation of evidence (forensic services), ambulatory services (ambulatory services), accident and emergency casualty services (accident and emergency casualty services)"
Kaapoka Health Centre,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,3,basic health centre,turkana,turkana west,kakuma,3.7301981,34.843963,refugee camp kakuma,20,0,6,0,0,0,0,0,0,0,"general outpatient (curative services), new born care service (newborn care service), natural (family planning), multiple micronutrients (nutrition services), management of sexually transmitted illness (sti) (hiv/aids prevention and care services), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), integrated management of acute malnutrition (nutrition services), child immunization (intergrated immunization), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hospital-retail service (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), hiv risk reduction services for prioity populations and geographies (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), growth monitoring (nutrition services), focused antenatal care (antenatal care), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), condom distribution & sti prevention (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive-management of life-threatening new born complications (newborn care service), comprehensive imci-resuscitation services (integrated management of childhood illness), basic- perform basic neonatal resuscitation (newborn care service), basic obstetric care (bmoc) (maternity services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Kacheliba Sub county H,TRUE,TRUE,West Pokot,Kacheliba,Diagnosis and Treatment,4,primary care hospitals,west pokot,kacheliba,suam,1.490037098,35.01020793,along alale road,99,0,3,19,0,0,0,0,0,1,"orthopaedic basic services (orthopaedic technology services), ophthalmic services (ophthalmic services1), minor theatre services (theatre services), maternity services (theatre services), intergrated opthalmic services with health facility-eye disorders including impairment,eye care routine, eye examination and surgery (ophthalmic services), integrated management of newborn & childhood illnesses (integrated management of childhood illness), hpv test (cancer screening), hiv preventive package (hiv/aids prevention and care services), hei - hiv exposed infants (hiv/aids prevention and care services), general radiography services (radiology and imaging), focused antenatal care (antenatal care), emtct-elimination of mother to child  transmission of hiv (hiv/aids prevention and care services), comprehensive maternity obstetric care (cemoc) (maternity services), comprehensive imci-resuscitation services (integrated management of childhood illness), basic services for gender based violence survivors (services for gender based violence survivors), basic mental health services -psychosocial interventions promotive, preventive mental health services (mental health services), basic imci-management of acute infections (integrated management of childhood illness), basic eye care (ophthalmic services), tuberculosis treatment (tuberculosis treatments), tuberculosis culture (tuberculosis diagnosis), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), general outpatient (curative services), new born care service (newborn care service), long acting method (family planning), child immunization (intergrated immunization), inpatient (curative services), infection prevention and control to mitigate hiv infection in the work place (hiv/aids prevention and care services), hospital - retail services (pharmacy services), hiv treatment and care (hiv treatment), hiv counselling & testing (hiv/aids prevention and care services), genexpert (tuberculosis diagnosis), fine needle aspiration (tuberculosis diagnosis), facility offering blood transfusion service (blood services), multi-drug resistant tuberculosis treatment (tuberculosis treatments), condom distribution & sti prevention (hiv/aids prevention and care services), class c (laboratory services), class b (laboratory services), class a (laboratory services), breast (cancer screening), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
Kaikor Health Centre,TRUE,TRUE,Turkana,Turkana North,Diagnosis and Treatment,,,,,,4.51907594,35.42448672,,,,,,,,,,,,
Kainuk Health Centre,TRUE,TRUE,Turkana,Turkana South,Diagnosis and Treatment,3,basic health centre,turkana,aroo,lobokat,1.84694,35.6562,kitale -lodwar road,6,0,1,4,0,0,0,0,0,0,"youth - friendly services (youth friendly services), tuberculosis treatment (tuberculosis treatments), tt toxoid for pregnant women (immunisation), smear microscopy (tuberculosis diagnosis), short acting method (family planning), postnatal care services (postnatal care services), general outpatient (curative services), ophthalmic services (ophthalmic services1), new born care service (newborn care service), natural (family planning), long acting method (family planning), integrated management of newborn & childhood illnesses (integrated management of childhood illness), child immunization (intergrated immunization), inpatient (curative services), hospital - retail services (pharmacy services), focused antenatal care (antenatal care), multi-drug resistant tuberculosis treatment (tuberculosis treatments), class b (laboratory services), basic services for gender based violence survivors (services for gender based violence survivors), basic obstetric care (bmoc) (maternity services), basic emergency preparedness -advanced  life support (emergency preparedness), ambulatory services (ambulatory services)"
